userId   movieId  正确评分     预测评分     误差平方    
547      1        3.500000   3.252057   0.061476  
547      6        2.500000   3.385043   0.783301  
564      1        4.000000   3.408242   0.350178  
564      2        4.000000   3.276916   0.522850  
624      1        5.000000   2.983660   4.065625  
624      2        3.000000   2.970684   0.000859  
15       1        2.000000   2.394680   0.155773  
15       2        2.000000   2.312070   0.097388  
73       1        5.000000   3.282309   2.950462  
73       2        2.500000   3.255806   0.571243  
452      1        3.500000   2.998309   0.251694  
452      3        1.000000   2.990171   3.960782  
468      1        4.000000   2.841575   1.341949  
468      2        2.000000   2.788164   0.621203  
380      1        4.000000   3.359691   0.409995  
380      6        4.000000   3.380769   0.383448  
311      1        3.000000   2.887136   0.012738  
311      6        4.000000   3.042825   0.916184  
30       1        4.000000   3.559720   0.193847  
30       2        2.000000   3.528730   2.337016  
294      1        4.000000   3.587924   0.169807  
294      5        3.500000   3.598101   0.009624  
509      1        3.000000   3.209886   0.044052  
509      3        2.000000   3.205768   1.453876  
580      1        4.000000   3.235236   0.584864  
580      2        3.500000   3.199625   0.090225  
213      1        3.000000   2.584408   0.172717  
213      2        3.000000   2.625678   0.140117  
212      1        3.000000   3.026397   0.000697  
212      2        3.000000   3.062864   0.003952  
472      1        5.000000   3.724374   1.627222  
472      6        3.000000   3.784275   0.615088  
388      6        5.000000   3.554905   2.088300  
388      10       2.000000   3.572150   2.471657  
23       1        3.000000   3.538547   0.290033  
23       6        3.500000   3.601602   0.010323  
457      1        1.500000   2.150999   0.423800  
457      3        1.500000   2.464948   0.931125  
518      1        5.000000   3.632660   1.869620  
518      2        4.000000   3.658849   0.116384  
461      1        3.500000   2.940454   0.313092  
461      4        1.500000   2.901030   1.962886  
232      1        3.000000   3.962155   0.925743  
232      11       4.000000   3.927715   0.005225  
102      14       4.000000   3.976827   0.000537  
102      25       4.000000   3.974998   0.000625  
262      1        2.500000   2.514969   0.000224  
262      2        2.000000   2.555327   0.308388  
475      1        4.500000   2.488906   4.044499  
475      16       4.000000   3.116181   0.781136  
306      1        3.000000   3.401839   0.161475  
306      2        4.000000   3.401007   0.358793  
119      1        2.000000   3.412664   1.995618  
119      2        3.000000   3.323551   0.104685  
654      1        5.000000   4.104224   0.802415  
654      2        3.000000   4.119745   1.253828  
358      1        5.000000   3.071176   3.720364  
358      3        1.000000   3.084020   4.343141  
529      1        4.000000   3.479000   0.271441  
529      17       4.500000   3.567973   0.868674  
575      1        3.000000   3.441085   0.194556  
575      2        4.000000   3.408063   0.350389  
105      6        3.000000   3.405314   0.164279  
105      10       3.500000   3.283564   0.046845  
56       1        4.000000   3.667984   0.110234  
56       10       4.000000   3.411536   0.346289  
353      1        3.500000   2.475542   1.049515  
353      2        2.000000   2.482978   0.233268  
664      1        3.500000   3.792053   0.085295  
664      6        4.000000   3.812148   0.035288  
48       1        4.000000   3.525237   0.225400  
48       2        3.500000   3.522117   0.000489  
587      25       4.000000   4.042346   0.001793  
587      34       3.500000   4.043526   0.295421  
165      1        2.500000   2.822411   0.103949  
165      2        3.000000   2.822443   0.031526  
596      1        3.500000   3.413303   0.007516  
596      6        4.000000   3.661453   0.114614  
195      6        4.000000   2.703080   1.682000  
195      25       3.000000   2.966358   0.001132  
384      10       3.500000   3.251435   0.061785  
384      19       3.000000   3.137115   0.018801  
463      1        3.000000   3.314105   0.098662  
463      7        4.000000   3.363772   0.404786  
605      3        2.000000   2.972341   0.945447  
605      11       3.000000   2.967144   0.001080  
481      1        4.000000   4.024603   0.000605  
481      16       4.000000   4.335368   0.112472  
665      2        3.000000   3.446376   0.199252  
665      3        3.000000   3.188855   0.035666  
607      1        4.500000   3.725124   0.600433  
607      2        3.000000   3.789326   0.623035  
19       1        3.000000   3.635620   0.404012  
19       2        3.000000   3.660400   0.436128  
199      6        4.500000   3.682185   0.668821  
199      10       2.500000   3.615070   1.243382  
285      1        4.000000   3.108047   0.795581  
285      2        3.000000   3.101063   0.010214  
150      1        3.000000   2.963546   0.001329  
150      2        3.000000   2.951419   0.002360  
SEE: 67.0679282687671
